,Artist,Streams,,,,,,,
,Luke Combs,"4,503,847,693","122,702,931",55,0,10,53,55,09/20/21
,System Of A Down,"4,473,086,419","415,124",83,0,9,67,78,10/26/21
,Jack Johnson,"4,464,351,377","26,277,507",180,0,6,76,164,10/01/21
,Muse,"4,455,655,051",0,242,0,10,81,175,10/22/21
,Elvis Presley,"4,450,478,560","4,944,379","2,158",0,8,67,345,10/22/21
,Radiohead,"4,447,073,294","1,587,812",221,0,6,85,195,10/18/21
,The Neighbourhood,"4,437,489,439","320,051",90,1,7,60,89,09/29/21
,Polo G,"4,416,313,925","1,161,988,394",60,0,11,58,60,10/18/21
,Roddy Ricch,"4,406,550,774","2,685,470,499",39,1,12,31,38,09/20/21
,Bazzi,"4,391,026,336","58,360,988",37,0,12,32,37,10/08/21
,Hailee Steinfeld,"4,390,178,914","592,323,092",29,0,10,18,27,10/20/21
,Swae Lee,"4,373,135,949","4,988,467,269",57,1,10,29,54,09/22/21
,Snoop Dogg,"4,353,041,177","5,261,975,222",686,0,9,54,243,10/08/21
,The Notorious B.I.G.,"4,346,420,469","569,759,727",153,0,10,50,109,10/24/21
,Jorge & Mateus,"4,324,297,522","956,104,294",253,0,8,87,239,10/20/21
,Jhay Cortez,"4,314,937,928","651,220,413",77,1,7,38,74,10/26/21
,Jess Glynne,"4,272,116,082","450,111,397",83,0,10,32,60,10/15/21
,Paramore,"4,229,680,694",0,113,0,9,66,99,10/26/21
,Cheat Codes,"4,227,024,364","277,260,117",141,0,7,38,84,10/23/21
,The Kid LAROI,"4,224,777,617","603,174,787",48,0,12,37,46,10/25/21
,Felix Jaehn,"4,220,719,529","227,877,670",156,1,11,33,88,09/04/21
,Frank Sinatra,"4,203,662,945","54,954,665","1,860",0,9,69,299,06/25/21
,Troye Sivan,"4,188,590,220","778,759,930",100,0,10,51,82,10/22/21
,Joji,"4,184,959,982","597,650,268",50,0,13,40,50,10/14/21
,Disclosure,"4,184,709,087","23,287,083",181,0,7,52,119,10/18/21
,Fifth Harmony,"4,172,298,096","245,961,734",75,1,7,46,74,10/25/21
,Julia Michaels,"4,167,842,016","1,499,927,798",64,0,7,34,61,10/22/21
,Christina Aguilera,"4,159,271,147","2,227,733,017",264,0,8,51,158,10/03/21
,Oasis,"4,153,515,411",0,220,1,6,47,170,10/25/21
,Slipknot,"4,143,831,674",0,205,0,7,64,172,10/19/21
,Don Omar,"4,130,968,373","1,636,264,718",229,0,12,49,116,10/15/21
,Bon Jovi,"4,102,294,311","1,227,367",322,0,9,35,172,10/26/21
,Chance the Rapper,"4,086,189,331","3,879,522,975",101,0,11,46,84,10/11/21
,Florida Georgia Line,"4,075,078,150","2,231,147,781",113,0,12,64,97,09/25/21
,Dalex,"4,055,219,773","1,148,930,463",110,0,11,42,85,10/17/21
,Tame Impala,"4,041,219,572","135,563,404",94,0,8,55,82,10/18/21
,Tove Lo,"4,038,233,092","1,266,147,479",135,0,6,58,103,10/24/21
,Alicia Keys,"3,998,762,725","1,118,372,033",223,0,7,53,161,10/26/21
,The Lumineers,"3,983,713,331",0,72,0,8,47,66,09/23/21
,Kings of Leon,"3,983,550,315",0,121,0,5,64,106,09/06/21
,Luke Bryan,"3,976,979,274","367,135,310",158,0,12,62,130,09/16/21
,The Script,"3,976,071,334","1,281,985",94,0,7,50,84,10/17/21
,Zion & Lennox,"3,972,787,863","2,664,955,655",156,0,11,44,87,10/15/21
,Five Finger Death Punch,"3,970,173,481",0,136,0,8,88,132,10/09/21
